nthread,neighbor_modes,uk-2007-05-edgelist,com-orkut
1,all,40,48
1,unweighted,66,66
1,queue,34,34
1,ps,34,34
2,all,40,60
2,unweighted,66,66
2,queue,34,34
2,ps,34,34
4,all,41,66
4,unweighted,66,66
4,queue,34,34
4,ps,34,34
8,all,40,66
8,unweighted,66,66
8,queue,34,34
8,ps,34,34
16,all,39,66
16,unweighted,66,66
16,queue,34,34
16,ps,34,66
32,all,41,66
32,unweighted,66,66
32,queue,34,34
32,ps,34,66
64,all,41,66
64,unweighted,66,66
64,queue,34,34
64,ps,34,66
