nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
2,all,9,32679,33831,29036,652814,267840,440168,793814,9996651
2,all,10,35336,40227,21867,751290,160737,343937,773539,8810032
2,all,20,40667,50018,16874,572529,145401,343905,733139,8807557
2,all,30,37952,69927,21676,710192,91806,385101,653569,11177710
2,all,40,46070,43300,21652,434063,53556,316329,554547,8129239
2,all,50,29815,46617,19247,670572,53555,220055,633547,9822420
2,all,60,27107,96516,21652,552213,91819,178808,475243,8806478
2,all,70,29815,73221,24057,532470,38254,192550,811639,11177057
2,all,80,27086,49928,26462,571925,38254,151306,435533,10499644
2,all,90,18962,36602,24057,512748,45904,220051,435558,8298144
2,all,100,16254,39929,26462,985966,61203,110035,455313,11176876
2,unweighted,1,64000,75801,82685,884629,306916,702461,959134,10365328
2,unweighted,2,88482,86869,77302,890789,421064,757041,872252,11262547
2,unweighted,3,109205,88564,69908,917527,375014,784143,903647,10719491
2,unweighted,4,84534,94785,86750,858207,313805,797905,998073,11207076
2,unweighted,5,114259,137431,98721,970988,336734,784138,956378,11196224
2,unweighted,6,95067,97306,62622,872292,329066,646480,1034123,11191534
2,unweighted,7,119448,123697,57786,1028739,313765,632708,953249,11188631
2,unweighted,8,87187,116908,60182,909575,329099,701461,973424,11185513
2,unweighted,9,92255,100265,55497,948572,306099,756468,933000,11183729
2,unweighted,10,105799,116853,45749,987903,313781,660207,1051908,11182599
2,unweighted,20,81315,113240,50548,1203457,336651,728919,1307248,11179802
2,unweighted,30,78569,139810,67387,1124392,206577,907668,1069300,11178145
2,unweighted,40,78539,149777,93832,1005821,160656,673886,1267243,11177566
2,unweighted,50,67727,136447,93818,1084595,153023,522599,1049323,11177252
2,unweighted,60,73143,139764,64941,946552,290719,522581,1108700,11177270
2,unweighted,70,46042,119798,91395,1005702,191269,618874,970052,11177174
2,unweighted,80,51479,113141,93801,1005730,153004,577603,989778,11177031
2,unweighted,90,54166,129786,103441,1163452,160654,536332,1029393,11177099
2,unweighted,100,56874,103160,81792,1301396,168304,536347,1108507,11177066
2,queue,1,10339,15486,8089,88984,37403,74846,97719,899272
2,queue,2,8796,11329,8414,70821,40799,95677,80052,940532
2,queue,3,9491,10713,8433,69564,39447,94760,78808,1159519
2,queue,4,9730,11167,7951,73037,42635,82413,82005,1324821
2,queue,5,9983,11024,7796,83213,42073,100911,87550,1535247
2,queue,6,9248,11024,7324,88009,40532,71026,90709,1716698
2,queue,7,9623,10434,7448,88918,45017,107844,99887,1814405
2,queue,8,9152,10804,7211,85431,42971,84333,98274,1819779
2,queue,9,9456,10586,7378,100845,45114,83258,101809,1981751
2,queue,10,9068,10987,7815,104732,34868,75981,105037,2048509
2,queue,20,10755,13048,8009,115989,38653,103375,118258,2529295
2,queue,30,9394,11854,10145,129923,27190,90821,143570,2566320
