neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
unweighted,full,0.3697493080754974,0.2638776208680677,0.21483396618153186,0.2261657626238251,0.2839561482756654,0.4151107870378082,0.049698134819081946,
weighted,full,0.371291431195677,0.25306433105088244,0.2529679067776016,0.22596084091390026,0.2847726294697026,0.21618266998647637,0.03403101066230953,
queue,full,0.3920484475777048,0.2394788699237215,0.28997673728896983,0.22596084091390026,0.37055396648018385,0.4151089077729982,0.04961429179874477,
all,full,0.3920484475777048,0.23988684567174745,0.28997673728896983,0.22596084091390026,0.37055396648018385,0.4151089077729982,0.04961193784332946,
