neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
unweighted,full,0.4379369592291794,0.328188020807743,0.41169144453914464,0.2399500969430004,0.4394592098671268,0.4574693947792684,0.25200325962774783,
weighted,full,0.4405095836779706,0.29895193009126125,0.4322981060878527,0.23973878827491835,0.43997535138861815,0.2665734287221658,0.192309782258767,
queue,full,0.4569874325025637,0.30086544545060406,0.45994771514929683,0.2397387882749183,0.5034736992868176,0.457675648164569,0.2516646948382058,
all,full,0.4569874325025637,0.3017099939106403,0.4599477151492968,0.2397387882749183,0.5034736992868176,0.457675648164569,0.25160629929465056,
