neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
queue,50,0.5853462052938322,0.38938953219018096,0.48976695877360726,0.26940988488840306,0.6367260982011995,0.4560982438763464,0.45732171645910785,0.44447016521059657
queue,60,0.5774467307714495,0.41943333619081963,0.4888912112846138,0.25172836927539927,0.5848015685284773,0.4430574003842337,0.46288489742917377,0.4463465782626445
queue,70,0.5790803134448528,0.4184238008499608,0.48687505887840427,0.2516542122651104,0.5942616510394545,0.4449025174636938,0.44842288277490044,0.4408053592432962
queue,80,0.5793144092858977,0.4251987902722882,0.4872522269315935,0.2567944529245682,0.5943523685039517,0.441781643684072,0.447487414478355,0.4494217209750092
queue,90,0.5703304105447757,0.4261690360668915,0.4861933993000179,0.25857292943741494,0.5956714309427213,0.43887307861818614,0.44129312410365096,0.4422744955106763
queue,100,0.5678212913044474,0.42531400856554286,0.48863125786721096,0.25865151174414347,0.5223438155934316,0.45821367460541385,0.4299003651064152,0.4426503242677053
all,1,0.4431981660094625,0.3171369476120257,0.5788090481612296,0.23237641609367032,0.6725644372168785,0.5423348694592576,0.517957746056917,0.42933547142836087
all,2,0.4901541682052744,0.3032029575057404,0.5962867750380105,0.25106076492021107,0.6923800483849025,0.5524729547830003,0.5076181917181208,0.43492966454675097
all,3,0.5045470831740257,0.317400182102723,0.5822460574119055,0.25701658548311884,0.6914600418925386,0.5606833398524094,0.4997413411570882,0.440765329588017
all,4,0.517909676792266,0.31640880862494575,0.5895760828162656,0.25405914979334315,0.6854356234290464,0.5614925381301165,0.5061838469384455,0.4352006991901633
all,5,0.5171893433955652,0.3261779613208815,0.5817353828650531,0.2670805468904605,0.707253651196806,0.5618718876223431,0.4999579430231927,0.4372884740643409
all,6,0.5169465376761037,0.3459523418589936,0.5740083733568229,0.26939635724403854,0.7564795254289772,0.5476443058566978,0.4981690910235591,0.4298041543691073
all,7,0.527160302782679,0.3462093936886107,0.5725485897488231,0.260675291684017,0.7178500697377085,0.5612417596519289,0.4893362546459054,0.4406871032011108
all,8,0.5357701816671784,0.3510040474103244,0.5925664310696214,0.2586832550600019,0.727776115076833,0.5494405258081947,0.4915501338696547,0.4363452285279195
all,9,0.5561140855808507,0.3541031443584255,0.5702382930616973,0.26280711734965806,0.7389966313642217,0.5334909772457062,0.4827517197493047,0.4374408394291622
all,10,0.5362076442346608,0.36309931129817585,0.5708398876308316,0.2588308340930941,0.7439639514604239,0.5324128278012423,0.48407529384464815,0.4419114916960279
all,20,0.5927149893155623,0.4043765777615255,0.5481329659333442,0.2753686641448675,0.6914506307346793,0.5377639546617835,0.4752519188934709,0.4497022757579216
all,30,0.5832892679729313,0.3952355972754294,0.48165755263527765,0.2621209741420627,0.6915930098294835,0.5064282234882241,0.4730222185559959,0.45093133863477713
all,40,0.5863272784681981,0.386431078586056,0.49253345690536515,0.279113005673425,0.6592048558169541,0.5065475528439469,0.4573568932513127,0.44189335255988005
all,50,0.583396319192635,0.3885718369263777,0.48976695877360726,0.2466373060730935,0.6370061941235108,0.45592266905851686,0.464027453829497,0.44137993971077555
all,60,0.5766177664869918,0.4200898611638397,0.4888912112846138,0.2477090442617555,0.5848015685284773,0.4430574003842336,0.4459753798855613,0.4448969070918268
all,70,0.5790803134448528,0.4184238008499608,0.48687505887840427,0.25549360238285823,0.5939602043482258,0.444836529709406,0.4407560975529624,0.43904862721415544
all,80,0.5779877881476979,0.4258747675665944,0.4872522269315935,0.25682767808363227,0.5944442698414916,0.441781643684072,0.44161123442285727,0.44949647038032253
all,90,0.5703304105447757,0.42563826544535416,0.4861933993000179,0.2586575088846488,0.5956714309427213,0.4385880798696512,0.4411894281824833,0.44466565158261306
all,100,0.5686539859086966,0.42572461307964654,0.48728794264307096,0.2584702772067259,0.5224051727980624,0.45821367460541385,0.43875581097516164,0.43434306108957255
