neighbor_modes,rates,nthreads,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,1,0.4157980680591341,0.2523393162103764,0.5681749040425312,0.1804329390396657,0.6793232669594735,0.5486610644359683,0.4947017686730086,0.4358816386301714
all,2,1,0.4829984710592266,0.28844455370519223,0.5748834134963233,0.19594390401013315,0.6892519917637724,0.5492623673553149,0.49735277735831385,0.44271821221937036
all,3,1,0.5063407757208274,0.302807910170772,0.5606684073518178,0.20397288955484838,0.6872526024030597,0.55324237143372,0.49466465478353877,0.4501492192011577
all,4,1,0.5228056157595175,0.3170993909451908,0.5809554724683761,0.21339051967506814,0.6989392350445656,0.5503419077426982,0.4885124733248299,0.4488945250942739
all,5,1,0.5136353266290025,0.32457981977437533,0.5738882221895101,0.22039465160058638,0.6994960882838474,0.5550464236960067,0.4874443400908784,0.44082717246477465
all,6,1,0.5173288143213837,0.3368235513739991,0.5758037776912908,0.2226045372866535,0.7361782836071169,0.5423610017357129,0.4864711012778274,0.4392189153022941
all,7,1,0.5133553179886001,0.34335865673709254,0.5647377403926244,0.2211177282502462,0.7402423394425811,0.5446077542380713,0.4783819969867431,0.44087331211864844
all,8,1,0.5405384887271157,0.34949318537261675,0.5651603220138156,0.21646615300410582,0.7380723813662542,0.5475206193809442,0.47621895467553693,0.4486915033275694
all,9,1,0.5463848829688404,0.35621533265685185,0.562929809027758,0.22123836772507266,0.748191466470178,0.5362264928102565,0.4847372908139159,0.44761194923778974
all,10,1,0.5470458726930346,0.352701393490866,0.5635688494534505,0.22294659654784182,0.7425102370175939,0.5323038508932362,0.47946233791744525,0.4502039569526673
all,20,1,0.5985106496595917,0.40383289386319243,0.503248852975074,0.2291124537978203,0.6989063488841415,0.5354903172238299,0.47494987362659835,0.4474983614604617
all,30,1,0.5867641286355324,0.3998928161633585,0.4865605266089696,0.23674141460906306,0.6607832666836797,0.5128676242347937,0.46736116468512806,0.4431782778966662
all,40,1,0.5829651876303394,0.4139630471993335,0.4848605866542612,0.2342302277811166,0.6743745029433429,0.5106942161026775,0.4657214062565461,0.44044957160085774
all,50,1,0.5820109949656878,0.40632212479853536,0.48154181487638215,0.23734301890653356,0.6343083991950275,0.4567504493298159,0.45817359937247754,0.44672331425763423
all,60,1,0.5763866181629911,0.42346142196176384,0.4799568454473435,0.24274642576791836,0.5850071162797463,0.45756878577434995,0.4542413328541328,0.45175415177299927
all,70,1,0.5766300857566848,0.42002537493294184,0.47930265816472295,0.2460285813532369,0.5936200508740518,0.44081868002103514,0.44292950439257134,0.4489039284960522
all,80,1,0.5766652014238984,0.4247112098319917,0.4788631247390584,0.2398830559994668,0.5941047204242323,0.44056790816377,0.440309862284237,0.4502545228732894
all,90,1,0.5678006346358799,0.4250904593551895,0.47785777550659275,0.2546585697349201,0.5953331287574037,0.4391693278397797,0.4441880810744595,0.4518729757574573
all,100,1,0.5659118791052631,0.42748748543837967,0.4786431716169337,0.24860948514866069,0.5973210853045746,0.4593984407466918,0.4481017565738206,0.4484488126815902
unweighted,1,1,0.41679395423065296,0.25219144333933097,0.5694052100096996,0.1794823497396142,0.6695529753168082,0.5423256274373109,0.4978512353114894,0.4322720597594173
unweighted,2,1,0.48074560262119115,0.28785382775872115,0.5731794523029795,0.19312408644498544,0.6886778464408106,0.5594129420844816,0.49833055486888683,0.44406200230212745
unweighted,3,1,0.4976605299902628,0.29926358076519705,0.573402329720341,0.20695334702409612,0.684725284273429,0.5528334656990094,0.5011301877110249,0.4523059498623481
unweighted,4,1,0.5140574473628762,0.31569696624470955,0.5835110906885058,0.21241304979876374,0.6909938906181612,0.5667261472061036,0.4916241551999054,0.4439188605351988
unweighted,5,1,0.5185476466965075,0.32348608428651066,0.5731497055374738,0.215016204585989,0.7080146840440992,0.5578392083395624,0.4944745924058271,0.4520669138424274
unweighted,6,1,0.5091634694620494,0.34158305742212397,0.5658587435035553,0.22160211042705916,0.73633350349836,0.5423786554362447,0.49147393216966345,0.44655001458167254
unweighted,7,1,0.542454885004512,0.3445198656929025,0.5652904369800574,0.21884859284521854,0.7303544689086743,0.5599315941349088,0.4937107284802042,0.44581125482365064
unweighted,8,1,0.553037166218542,0.3546224569766141,0.5632036386332454,0.21338409185699372,0.7596957122880541,0.5448110425324706,0.48936011974329385,0.4400845418805662
unweighted,9,1,0.5439292268554984,0.35619571572945835,0.5635024076035009,0.2141080306092615,0.7481274321344025,0.536349369963434,0.48900724608025214,0.4504613633693389
unweighted,10,1,0.5695351595798847,0.3646823793068545,0.564143204919061,0.22463223699871276,0.7481153939772479,0.5346354452492185,0.48400990297461555,0.451938044750398
unweighted,20,1,0.5912229790043667,0.40243560807889805,0.5426054339646379,0.23035346097816597,0.6987014998827558,0.5341580920693476,0.4732048549371881,0.45169577276433753
unweighted,30,1,0.5752405810354677,0.3986132660353859,0.4754853389648254,0.23547002722373636,0.6992251429481889,0.5112182731914218,0.46826859629229783,0.44852162948434876
unweighted,40,1,0.5846516515054264,0.4067951425068345,0.46346821909520025,0.23902954790577569,0.6738802787263488,0.5106937742477081,0.46035447972485677,0.44649049617990055
unweighted,50,1,0.5824620529215331,0.4066917433961627,0.48053271985491447,0.24880969264986216,0.6360980930404035,0.4566653785074514,0.4581013372347492,0.44937834182938363
unweighted,60,1,0.5771554202027853,0.42276257253613403,0.4214949909851264,0.23997085903951568,0.5876314024034044,0.44310814097491935,0.44895811867271435,0.4456553065501136
unweighted,70,1,0.5788056667370464,0.42312254129242727,0.41156015650119526,0.23713205290931252,0.5950410459595727,0.4407189351346339,0.4501982056787245,0.44965328505540986
unweighted,80,1,0.5746236344907333,0.4225850548575488,0.42181023847601223,0.24893668738526725,0.5941047204242323,0.4397984877884254,0.4412516446003532,0.4442819963941811
unweighted,90,1,0.5725707711013657,0.42415373890709335,0.4213311717856646,0.25102762604741524,0.5953331287574037,0.43838107588827174,0.43974703764668693,0.4485175745127389
unweighted,100,1,0.5659118791052631,0.428210965957114,0.41039112787660537,0.2501890585268156,0.597091353794081,0.4594471439916138,0.4425219164234116,0.44824118557336173
queue,1,1,0.4155188302343506,0.25230745187979237,0.5669407935896563,0.18227016057376938,0.6808416901229285,0.5475255103673653,0.49555591077751604,0.43402942914511405
queue,2,1,0.48253844386586897,0.2883429396154542,0.5763273730416403,0.19313175713264094,0.690666200282847,0.5463022317340561,0.4962941333988471,0.43865037269245116
queue,3,1,0.50367437231342,0.30260869880984426,0.5616401152355649,0.20411259840305884,0.6846073746825052,0.5529969616405199,0.489959351583792,0.4395225479254153
queue,4,1,0.5188038884494565,0.3159031247862411,0.5804130762479369,0.2131311346235584,0.697900632860067,0.5747674247165117,0.4885480933947504,0.4428745294686712
queue,5,1,0.5132540796081136,0.3240326072092661,0.5747650231798093,0.22239511691989725,0.7003011144119644,0.5527342385741592,0.48536523755585115,0.43315199574757485
queue,6,1,0.5149085351071323,0.3359397278793412,0.5767320671894204,0.22110667628055108,0.7350305512656772,0.5427150265573899,0.4830713898945013,0.43932761682174937
queue,7,1,0.5112368157474262,0.3434910562042946,0.5666037413591284,0.21795777650571443,0.7400010441032958,0.5438234945028321,0.47689071666261035,0.4360925003002948
