nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
2,queue,4,12,9,9,24,26,20,27,34
2,queue,5,13,11,8,32,23,29,26,34
2,queue,6,11,9,7,34,17,20,21,34
2,queue,7,12,9,10,24,18,27,34,34
2,queue,8,12,7,7,18,15,19,24,34
2,queue,9,9,10,9,34,17,20,27,34
2,queue,10,10,8,8,30,12,18,23,34
2,queue,20,11,10,6,21,14,20,20,34
2,queue,30,9,8,6,23,12,19,31,34
2,queue,40,12,12,9,26,7,23,25,34
2,queue,50,9,15,8,23,7,14,17,34
2,queue,60,6,15,9,17,9,10,34,34
2,queue,70,8,21,10,34,7,9,21,34
2,queue,80,10,14,11,21,5,9,18,34
2,queue,90,7,11,10,19,6,9,15,34
2,queue,100,5,9,10,32,5,5,20,34
2,ps,1,11,9,32,19,34,34,12,30
2,ps,2,18,16,23,20,34,34,20,34
2,ps,3,27,16,16,24,30,34,23,34
2,ps,4,21,17,24,26,34,34,34,34
2,ps,5,21,22,24,34,34,34,26,34
2,ps,6,32,20,21,27,34,34,34,34
2,ps,7,34,20,15,34,28,34,34,34
2,ps,8,24,26,19,34,34,34,34,34
2,ps,9,26,23,15,34,34,34,34,34
2,ps,10,27,24,14,34,34,34,34,34
2,ps,20,15,25,20,34,24,34,34,34
2,ps,30,22,30,23,34,20,34,34,34
2,ps,40,22,34,24,33,20,34,34,34
2,ps,50,16,34,23,34,18,32,34,34
2,ps,60,25,30,32,34,29,30,34,34
2,ps,70,19,24,30,34,19,26,34,34
2,ps,80,18,34,30,34,18,31,34,34
2,ps,90,17,16,34,34,22,29,34,34
2,ps,100,25,26,34,34,20,33,34,34
4,all,1,8,10,13,11,26,33,11,22
4,all,2,13,9,13,14,27,35,14,44
4,all,3,17,8,12,18,24,32,19,45
4,all,4,14,9,12,20,20,43,21,48
4,all,5,17,9,10,18,23,27,26,48
4,all,6,18,11,12,41,30,42,32,46
4,all,7,13,13,11,23,19,34,28,53
4,all,8,16,14,8,30,31,23,40,48
4,all,9,15,10,11,33,34,30,30,55
4,all,10,20,13,11,42,30,35,39,60
4,all,20,14,19,7,27,15,20,33,65
4,all,30,13,17,10,25,10,23,39,56
4,all,40,11,15,10,37,6,23,40,60
4,all,50,8,11,10,24,11,15,33,60
4,all,60,9,21,6,27,10,9,39,56
4,all,70,9,30,16,26,9,15,30,62
4,all,80,10,21,19,24,12,11,27,52
4,all,90,8,19,16,26,5,17,20,56
4,all,100,7,10,9,30,7,8,33,48
4,unweighted,1,25,23,37,43,44,50,44,59
4,unweighted,2,45,26,34,43,43,50,49,64
4,unweighted,3,37,30,36,44,47,52,43,63
4,unweighted,4,41,27,33,49,40,50,51,66
4,unweighted,5,45,29,35,45,44,48,50,66
4,unweighted,6,41,36,25,49,41,51,48,66
4,unweighted,7,31,42,40,44,42,62,53,66
4,unweighted,8,33,26,22,48,45,48,50,66
4,unweighted,9,38,37,30,51,45,58,49,66
4,unweighted,10,34,35,24,46,44,54,55,66
4,unweighted,20,27,51,19,65,49,52,62,66
4,unweighted,30,43,41,30,49,27,52,60,66
4,unweighted,40,38,45,41,58,21,51,63,66
4,unweighted,50,17,32,23,52,25,42,55,66
4,unweighted,60,31,43,41,58,30,44,50,66
4,unweighted,70,28,24,38,55,33,44,63,66
4,unweighted,80,17,31,32,66,21,39,57,66
4,unweighted,90,19,29,36,54,23,33,55,66
4,unweighted,100,23,36,36,56,22,36,52,66
4,queue,1,7,8,13,11,30,34,9,20
4,queue,2,11,10,11,13,24,34,12,34
4,queue,3,12,13,15,16,20,25,16,34
4,queue,4,11,13,9,15,14,30,22,34
4,queue,5,11,9,17,34,11,20,18,34
4,queue,6,10,9,15,31,26,33,24,34
4,queue,7,8,8,8,25,19,26,25,34
4,queue,8,10,9,6,34,22,15,34,34
4,queue,9,10,7,9,26,17,28,34,34
4,queue,10,10,9,7,23,20,16,34,34
4,queue,20,8,9,6,25,10,18,22,34
4,queue,30,11,10,6,24,15,21,27,34
4,queue,40,11,20,5,18,6,22,30,34
4,queue,50,7,15,9,13,7,13,21,34
4,queue,60,6,8,9,22,9,8,34,34
4,queue,70,8,17,15,18,5,11,30,34
4,queue,80,9,15,18,19,7,7,25,34
4,queue,90,8,9,6,22,6,6,19,34
4,queue,100,6,14,9,26,6,5,34,34
4,ps,1,12,9,20,14,34,34,15,33
4,ps,2,15,17,26,19,34,34,20,34
4,ps,3,34,21,23,30,34,34,28,34
