neighbor_modes,rates,nthreads,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,1,0.43927939329383703,0.31600410249914124,0.5810302101071443,0.18584823906256667,0.6805743258238275,0.5501520456934681,0.5220695653484212,0.4385286553140647
all,2,1,0.4915477340283283,0.3070063871980446,0.5848602905781843,0.1975550480169168,0.6902517195073227,0.5503630793360039,0.5102992546056992,0.4439886903498213
all,3,1,0.5136136432077134,0.3126047335653613,0.5690397878578196,0.20480523909913992,0.6882588074088989,0.554329796347278,0.505828340835946,0.4511225785902926
all,4,1,0.5279359348200827,0.32351670402718685,0.5884792568736837,0.21411480989604414,0.6998009001621869,0.5513393302752311,0.49783828652198175,0.44975240301007025
all,5,1,0.5180181927421526,0.3306311003243333,0.5810480545876917,0.2209778928092051,0.700302256215092,0.5558707160458798,0.49605022297801377,0.4416274492198471
all,6,1,0.5214290638588192,0.3418021292975837,0.582428963982279,0.22314868073126243,0.7367983128138671,0.543215370376148,0.49420868855659517,0.44002916713695844
all,7,1,0.5175072932568202,0.347476722212925,0.5715304671426077,0.22159240170061786,0.7408560954778725,0.5454532638308798,0.4850348484264172,0.4416437712655996
all,8,1,0.5440857275914956,0.35318244274655464,0.5719449530348236,0.21696669836951982,0.7386911651989961,0.5483642397475847,0.4829093073035165,0.4494394766654838
all,9,1,0.5492467117875786,0.35969014220532614,0.5697454413255293,0.22170476995451885,0.7487491537018571,0.5370235565768496,0.4910778769403012,0.4483377945028523
all,10,1,0.5501136794278164,0.3564414105429199,0.5703725642213148,0.22334855977226747,0.7430377806627824,0.5330413963482301,0.4850951240737732,0.4509476471050249
all,20,1,0.5999672457579978,0.4056792254630012,0.5086708371892327,0.22944572736000385,0.699341352599267,0.5359859904843405,0.4801614086386892,0.44797495240264434
all,30,1,0.5882690983100071,0.40157534631699615,0.4914988594054816,0.23703806107913536,0.6612082819143715,0.5133140855368431,0.47213653337833816,0.4436232987329605
all,40,1,0.5844800054284224,0.4154234554354185,0.4898121401295341,0.23452808630345554,0.674781384607059,0.5111404133858862,0.4702712452939811,0.4408565364902146
all,50,1,0.5833201628967022,0.4078035682530534,0.48652632914024274,0.23760911952253477,0.6346887466403262,0.45716700320434706,0.4622643141008401,0.44706556109068435
all,60,1,0.5777113768919812,0.42471217063018546,0.48495780273553357,0.24299157108949407,0.5853544057873453,0.4579833177865151,0.45839010177944073,0.45209544899211956
all,70,1,0.5779531562117771,0.42106852963323343,0.4843105935885273,0.24626083644640076,0.5939602043482258,0.4411588169257522,0.4463560660902027,0.4492239189954948
all,80,1,0.5779877881476979,0.4257458080372038,0.4838748799167944,0.24009306324179153,0.5944442698414916,0.4409082477465197,0.4437277067796017,0.450575523338678
all,90,1,0.5691510325673936,0.4261245478227928,0.48287928446962564,0.2548700880799929,0.5956714309427213,0.4395106548982328,0.4475861391526115,0.4521923713252843
all,100,1,0.5672686856023544,0.42851734606423714,0.4836564685740826,0.24882346413157108,0.5976577641634733,0.45963793780498763,0.4517322841695356,0.44872863607913427
unweighted,1,1,0.4401431638843109,0.31586875735260034,0.5817553308894349,0.18493454195862613,0.6708373955498894,0.5437660610282476,0.5243174424554332,0.43490727272325386
unweighted,2,1,0.4898489999319782,0.3062482280841089,0.5822670679657932,0.19476428679626978,0.6896791960878405,0.560557259352896,0.5119932557158132,0.44530323510423747
unweighted,3,1,0.5045105867034528,0.3097775086865694,0.5820236118307628,0.20777370320909552,0.6856236874300341,0.5539218096671665,0.5122425310055784,0.45324450702086183
unweighted,4,1,0.5188728307664805,0.3223265462484567,0.5905091335642302,0.21313352894648074,0.6919309692859222,0.5676954702541152,0.5010982731478272,0.4446603337382493
unweighted,5,1,0.5228466460406133,0.32956740045757243,0.5803216919577322,0.2156148779195972,0.7088523219333372,0.5586631975784699,0.5030487202582451,0.4528552358692014
unweighted,6,1,0.5133344323600002,0.346849024977778,0.5726323882835472,0.22217384322010672,0.7369531968857048,0.5432329851509908,0.4988756669916016,0.447248387709176
unweighted,7,1,0.5458607843564133,0.3486302982878742,0.5720733430923705,0.21941995840620965,0.7309409329620409,0.5606918517228008,0.5003753108986632,0.44649145287086983
unweighted,8,1,0.5558615114765958,0.35855604143641134,0.5700152346644478,0.21388227709447277,0.7602278564744804,0.5456579767840598,0.495885601354878,0.4407797777631447
unweighted,9,1,0.5468203798920134,0.3597328894947175,0.5703086361065574,0.21455428705571133,0.7486856234939303,0.5371463116609344,0.49574595468422994,0.4511478187990933
unweighted,10,1,0.5719278352527353,0.3679843593333354,0.5709375695795909,0.22505950787658818,0.7486733960718488,0.5353703112623021,0.4900928445951373,0.4525801921620611
unweighted,20,1,0.592712986451191,0.40448983607623806,0.5486881635193629,0.23066581296486569,0.6991368143597462,0.534647976398105,0.47819541382157976,0.45215155592071044
unweighted,30,1,0.5767862348573747,0.40047079943956215,0.48049048822352247,0.23575185125367265,0.6996605800773116,0.5116655171688382,0.473044611811636,0.4489875027901704
unweighted,40,1,0.5861612059780209,0.4082738525695151,0.46786879349723814,0.23931100577340098,0.674287697056633,0.5111399669727595,0.4647240674161656,0.44687381546735916
unweighted,50,1,0.5837699405575181,0.40817217345629964,0.48552739959509833,0.24905654725876114,0.6364766552425343,0.45708203725037205,0.46219307513634267,0.4497393821378325
unweighted,60,1,0.578477256948435,0.4240147232109119,0.4254131468883069,0.24022062187759985,0.5879766133083948,0.44344690553851035,0.4525907944904241,0.44595697900774833
unweighted,70,1,0.5801221963321056,0.42437441509153845,0.41477900080204716,0.23736168849309305,0.5953800351320286,0.44105915366777804,0.45383496303760534,0.44997231798278187
unweighted,80,1,0.5759525972664902,0.42362368819884366,0.42572539260912307,0.24916340943003065,0.5944442698414916,0.44013928942689434,0.4446608368852416,0.44454313769613174
unweighted,90,1,0.5739069630818769,0.4251898842639772,0.4252531537627714,0.2512378244861551,0.5956714309427213,0.43872293246465816,0.4431822062562016,0.44883834009684515
unweighted,100,1,0.5672686856023544,0.4292394596078245,0.4136217056902123,0.25040202516789245,0.5974282170038685,0.4596866208982508,0.445936402831593,0.44852107924659496
queue,1,1,0.43921601802892557,0.3159810727009328,0.5798332363343861,0.187674112019604,0.6820882468106362,0.5490200191262471,0.5228897882522484,0.4366183961448455
queue,2,1,0.4911242351693578,0.30691193115707344,0.5862681373267558,0.19474898135503224,0.6917130092310855,0.5474110123464866,0.509487985335429,0.43992133010387563
queue,3,1,0.5109929111928666,0.312408952013613,0.5699929410441615,0.20494483397385935,0.6856223304661186,0.5540857014865479,0.501035820212669,0.4405559238351157
queue,4,1,0.5239732078564752,0.32233196132718644,0.5879452469222264,0.21385566912168605,0.6987642303428546,0.5756579332907338,0.4981001802307566,0.4437020288222078
queue,5,1,0.5176394535271821,0.33008931843698497,0.5819092893882668,0.22296490044285194,0.7011055803564415,0.5535636202724287,0.4940254000166885,0.4339589175250618
queue,6,1,0.5190315539950021,0.3409247648939463,0.5833424704761843,0.22164689147232192,0.7356535342603607,0.5435688513238974,0.49087206751145035,0.4401547849218611
queue,7,1,0.5154092930431105,0.34760834837720883,0.5733676973820889,0.2184475523864744,0.7406152391176297,0.5446653286378622,0.4840875745073367,0.43685260776818763
queue,8,1,0.540273902226581,0.3509325368680054,0.5735183470059942,0.2153990763214293,0.7407384783558637,0.547729920124843,0.4793734116513987,0.44171156507337256
queue,9,1,0.5421672825807696,0.3590167156987316,0.5710892155079066,0.22121051237452957,0.750868163348995,0.5339348481202172,0.4870833856873445,0.4437233357473876
queue,10,1,0.5469929163656888,0.3529147532693546,0.5696872021701506,0.22248634130985898,0.744865371667046,0.5304991656313583,0.4811144103761936,0.4425830903508377
queue,20,1,0.586105671559423,0.3927719822247727,0.5067265321543672,0.2291932207044976,0.6947534538165896,0.5333027385440343,0.47687343060242865,0.43980364395959315
queue,30,1,0.580632589860265,0.3943150330150922,0.4914988594054816,0.23586597683377467,0.6593449124226413,0.5051301337412647,0.47112249820401914,0.4384329380216177
queue,40,1,0.588337250368594,0.4176725988698173,0.4898121401295341,0.23310293844825522,0.674781384607059,0.5085811908023596,0.4694041273562143,0.4354472273362437
queue,50,1,0.5853042516936966,0.4032108437030941,0.48686105014083425,0.2368446244999977,0.6355521702944504,0.4555164643120113,0.45929277572110006,0.44687626556192545
queue,60,1,0.5770202268314557,0.4172746048167397,0.48495780273553357,0.23737135949297966,0.5955700088392301,0.4581329781210635,0.45365899460450926,0.44564575750350466
queue,70,1,0.5795460438166659,0.39952227458699696,0.4843105935885273,0.24532754424423148,0.5966287494592373,0.4447048094125842,0.4433866461629297,0.4387575845385298
queue,80,1,0.5779877881476979,0.4255559893829761,0.48360909482168846,0.24151860109674075,0.5944442698414916,0.4409082477465197,0.4360722314279473,0.4426107258622744
queue,90,1,0.5691510325673936,0.42628406230985383,0.48287928446962564,0.25074179607391617,0.5959683642855602,0.4395106548982328,0.4418276142731084,0.44748621924198806
queue,100,1,0.5672686856023544,0.42831857811046803,0.4836564685740826,0.24294697542510402,0.5974282170038685,0.45821367460541385,0.4501200944433053,0.44436065767879596
ps,1,1,0.4410772605633086,0.31556644101807896,0.5898418118096996,0.18675007543796207,0.6811777589086687,0.5467134837872063,0.5152135756904399,0.4317371340542289
ps,2,1,0.4715439381622989,0.3061743613185396,0.5843756755674935,0.19230586686432222,0.6901035141286234,0.547326711415999,0.502927786623356,0.4461257700021307
ps,3,1,0.5046520960959818,0.3145545636430887,0.5859519671132393,0.2083148927646135,0.6851244453724463,0.5607746156536981,0.4917230423033581,0.442166436669486
ps,4,1,0.5157037237243277,0.32211742600052456,0.5898653024237756,0.2112536514614109,0.69303675675099,0.5631255594866638,0.49506679412005683,0.4377200837581157
ps,5,1,0.5108342061158113,0.3278970290116944,0.5818043203181898,0.2217772869643566,0.7074694088841584,0.5556710753727038,0.4912213011728385,0.4419587079066317
ps,6,1,0.5198480707639433,0.33448840162473736,0.5735136659384085,0.21381187195464138,0.7370261515449105,0.5410855325074905,0.4960256569995127,0.4388678811633852
ps,7,1,0.5466025331804185,0.34737318969343495,0.5731854869476909,0.22242522626833933,0.7319300061579408,0.5578668644456611,0.4867990930516969,0.4419536544317217
