nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
1,all,1,0.002820571263631167,0.002947012583414667,0.0042750040690104005,0.02566099166870113,0.03338177998860673,0.10489900906880695,0.022665818532307865,0.6268681685129802
1,all,2,0.004197041193644133,0.0037878354390461664,0.006072362263997367,0.0371485551198323,0.06335330009460444,0.15391921997070307,0.03570556640624997,1.5965269406636557
1,all,3,0.004563808441162067,0.004813353220621667,0.007310787836710566,0.0704614321390787,0.06635872522989907,0.19683122634887693,0.045424302419026674,2.395264148712158
1,all,4,0.0066212018330891334,0.006501356760660734,0.007827202479044566,0.07384872436523436,0.085835059483846,0.2468479474385579,0.06974633534749343,2.811241626739502
1,all,5,0.0072366396586099994,0.006334702173868766,0.0086276531219482,0.11149509747823075,0.10749419530232743,0.2840559482574463,0.0808157126108805,3.581736008326212
1,all,6,0.008056322733561166,0.008455673853556299,0.008604605992635033,0.13808091481526685,0.12163615226745599,0.2911678155263265,0.09278670946756994,3.836251417795817
1,all,7,0.009545882542928,0.008406400680541933,0.0107504526774088,0.14077933629353837,0.119557778040568,0.32737414042154944,0.13236419359842932,4.823222557703654
1,all,8,0.0083339214324951,0.008868773778279567,0.013871987660725834,0.14093542098999023,0.15631961822509763,0.3616481622060139,0.13055062294006342,5.099472363789877
1,all,9,0.010156790415445933,0.0110429128011067,0.0153013865152994,0.16583307584126786,0.1419158776601155,0.4086844126383463,0.12795416514078775,5.1886781851450605
1,all,10,0.010334412256876566,0.011850754419962533,0.018436352411905867,0.20217172304789222,0.1253668467203776,0.4906757672627767,0.13394641876220698,6.436895291010539
1,all,20,0.019202311833699498,0.0182875792185465,0.0241362253824869,0.3393888473510742,0.34543561935424805,0.8725119431813557,0.23178641001383465,11.430204312006634
1,all,30,0.028780539830525666,0.03672726949055986,0.027388016382853132,0.4700733025868733,0.4271184603373209,1.3543856143951416,0.3535914421081543,17.50953451792399
1,all,40,0.0286227067311604,0.03451617558797193,0.041715463002522726,0.7104132175445557,0.33682854970296217,1.542639414469401,0.4873077869415283,22.46045446395874
1,all,50,0.0271711349487304,0.03872219721476233,0.05033421516418453,0.9743835926055908,0.3087618350982666,1.2556171417236328,0.4948290189107259,22.52729121843974
1,all,60,0.0358773072560628,0.036877711613972936,0.07139778137207027,1.016517480214437,0.5298953851064047,1.4265164534250896,0.6886518796284994,26.958419243494667
1,all,70,0.03744514783223467,0.0560438632965087,0.08375477790832514,1.4062960147857668,0.5590236186981201,1.4161354700724282,0.6899001598358154,32.90080690383911
1,all,80,0.04371929168701166,0.058183987935384096,0.1012210051218668,1.219012180964152,0.44963105519612634,1.1447404225667317,0.8906126817067463,37.73855519294739
1,all,90,0.039511601130167634,0.060782512029012,0.0977125167846679,1.5591351191202798,0.5114947160085043,1.204357385635376,0.8715136845906575,39.15079895655314
1,all,100,0.041136026382446234,0.0598494211832682,0.1049254735310872,1.6020481586456299,0.6569198767344157,1.7376670837402344,0.7912997404734293,41.56479493776957
1,unweighted,1,0.005598783493041967,0.005730390548706,0.0097440083821614,0.07002464930216466,0.060095469156901005,0.13885172208150226,0.0717829863230387,1.5144579410552979
1,unweighted,2,0.010676622390747034,0.008697668711344366,0.013090848922729433,0.1017974217732747,0.09642012914021807,0.2365624109903971,0.09393461545308426,2.594449996948242
1,unweighted,3,0.012986977895100865,0.011826356252034435,0.017040014266967735,0.13302127520243323,0.12357187271118164,0.30177736282348633,0.11547120412190749,3.632468144098918
1,unweighted,4,0.016800959904988533,0.015318473180135033,0.017126162846883067,0.14874219894409177,0.14907177289326984,0.38910675048828125,0.13946135838826493,4.3983988761901855
1,unweighted,5,0.0175598462422688,0.0183185736338297,0.02150392532348627,0.18668699264526362,0.16975410779317215,0.4665212631225586,0.16009402275085446,5.199255069096883
1,unweighted,6,0.019988298416137633,0.02130214373270667,0.0236694018046061,0.21301992734273267,0.20423102378845212,0.5128993193308512,0.1677592595418294,5.897450526555379
1,unweighted,7,0.02302463849385573,0.023004372914632098,0.028118530909220302,0.23052557309468585,0.21867338816324866,0.6158031622568766,0.2027235825856526,6.568898359934488
1,unweighted,8,0.025776545206705664,0.024863402048746732,0.027663310368855734,0.24653458595275873,0.2527697086334228,0.696984052658081,0.19896197319030762,7.274376630783081
1,unweighted,9,0.027529001235961865,0.0290769735972086,0.027615785598754834,0.2890172004699707,0.285364548365275,0.8495913346608479,0.22600905100504554,7.77416427930196
1,unweighted,10,0.030357281366984002,0.033159653345743764,0.03158291180928547,0.33425100644429523,0.29573671023050946,0.9450549284617107,0.23872780799865723,8.461356083552042
1,unweighted,20,0.04567758242289217,0.050919771194457966,0.04701177279154453,0.628525972366333,0.5835982163747151,1.650279680887858,0.38413254419962567,14.788317918777466
1,unweighted,30,0.06082018216451003,0.06516154607137037,0.0871216456095377,0.9132402737935383,0.6691683133443196,2.548423131306966,0.611368735631307,20.74805974960327
1,unweighted,40,0.0734453201293945,0.08654793103535967,0.14146065711975095,1.2110179265340169,0.7512373924255371,3.319050629933675,0.7260575294494629,26.790690978368126
1,unweighted,50,0.08047087987263993,0.09773135185241696,0.17044878005981443,1.431634267171224,0.9142611026763916,3.341264486312866,0.9460726579030354,32.66318074862162
1,unweighted,60,0.0681652228037516,0.1080524921417236,0.20811835924784336,1.6587642033894858,1.1758188406626384,3.6104576587677,1.087144374847412,38.056501150131226
1,unweighted,70,0.08437720934549964,0.11488127708435054,0.2416905562082926,2.114414850870768,1.532632907231649,4.585672219594319,1.2881853580474854,43.55874117215475
1,unweighted,80,0.0883994897206624,0.11322816212972003,0.34137185414632154,2.450760285059611,1.3235096136728923,4.947798490524292,1.3946129480997722,48.96204312642415
1,unweighted,90,0.09342622756958004,0.1372160116831461,0.34447940190633136,2.4191390673319497,1.5378963947296143,4.356582482655844,1.6025478839874268,54.540930112202965
1,unweighted,100,0.11084953943888343,0.14702749252319333,0.4684151808420817,3.091111024220784,1.799556334813436,5.488204638163249,1.6822892030080159,59.407802263895675
1,queue,1,0.0022059281667072997,0.0024462540944417003,0.0027484893798827665,0.017478863398234,0.015122731526692667,0.03365707397460933,0.016349871953328397,0.28611524899800617
1,queue,2,0.0026439825693765667,0.0027249654134114,0.0034588177998859998,0.021581411361694267,0.023642381032307896,0.054511706034342425,0.02016854286193843,0.46294474601745605
1,queue,3,0.0031865437825520327,0.003217776616414333,0.0042763551076253,0.026825030644734668,0.0298842589060465,0.0749729474385579,0.0229902267456054,0.7028066317240397
1,queue,4,0.0038181145985920666,0.0038259824117024333,0.004884322484334266,0.032310406366984,0.03683535257975257,0.09320267041524247,0.029016176859537703,0.9075421492258708
1,queue,5,0.004367431004842067,0.004260857899983666,0.005258321762084899,0.03862166404724116,0.043773333231608036,0.11346451441446939,0.03221170107523594,1.1535825729370117
1,queue,6,0.004967292149861567,0.004822254180908167,0.005830208460489867,0.04459158579508457,0.05122367540995277,0.1253114541371663,0.0359911918640136,1.3905224005381267
1,queue,7,0.005464394887288367,0.005298376083373966,0.006714423497517833,0.05067221323649086,0.05514280001322423,0.13774045308430985,0.04216154416402173,1.5913756688435874
1,queue,8,0.0059425036112467,0.005921284357706633,0.0074317455291747665,0.05299830436706536,0.06392057736714674,0.1612872282663981,0.0464800993601481,1.7794142564137778
1,queue,9,0.006257772445678699,0.006217241287231367,0.008244752883911067,0.06130615870157871,0.06661136945088703,0.17594424883524576,0.04853955904642733,1.9717102845509848
1,queue,10,0.006573279698689733,0.006740411122639933,0.009144465128580666,0.0670584837595621,0.06646831830342607,0.19958384831746415,0.052007436752319294,2.1618117491404214
1,queue,20,0.010831197102864567,0.0124890804290771,0.016308943430582635,0.12879093488057447,0.12411133448282874,0.37459047635396314,0.09012397130330399,3.9374040762583418
1,queue,30,0.014926195144653267,0.0183749993642171,0.023885806401570633,0.18704509735107422,0.19721452395121256,0.6088640689849854,0.13216495513916013,6.150780836741129
1,queue,40,0.020244995752970334,0.019697189331054667,0.034055948257446234,0.25664544105529785,0.24354227383931476,0.85123610496521,0.1643729209899902,8.455484867095947
1,queue,50,0.021727005640665598,0.024377266565958598,0.046298901240030874,0.3364350001017252,0.2498966058095296,0.8032160600026449,0.20621506373087564,10.563429435094198
1,queue,60,0.026785691579182896,0.026997486750284766,0.061240037282307896,0.4172706604003906,0.3181704680124918,0.8182799021402996,0.23491279284159342,11.760735750198364
1,queue,70,0.02887479464213047,0.0319100220998128,0.075352668762207,0.5092064539591471,0.3890276749928792,0.9017610549926758,0.28925673166910804,14.44178056716919
1,queue,80,0.03432313601175937,0.03864018122355136,0.08414959907531733,0.49851624170939124,0.4155804316202799,0.923367977142334,0.3265076478322347,17.533228079477944
1,queue,90,0.0366560618082682,0.046486616134643506,0.09485793113708493,0.5761802196502686,0.4756782054901123,1.008039156595866,0.3616106510162353,18.60578997929891
1,queue,100,0.03935480117797847,0.046012163162231404,0.10829313596089676,0.6470284461975098,0.5678379535675049,1.1553009351094565,0.37741478284200036,20.140577793121338
1,ps,1,0.0025876363118489004,0.0025920073191323997,0.004164457321166933,0.021369457244873,0.0271659692128499,0.06303286552429196,0.01876823107401523,0.4037609895070393
1,ps,2,0.0038056373596191,0.0035527547200520336,0.006271759668985967,0.031083345413207966,0.046383142471313435,0.1064835389455159,0.027495304743448835,0.7912275791168213
1,ps,3,0.00531800587972,0.004934151967366467,0.008466243743896434,0.04426781336466467,0.062371730804443304,0.15027991930643714,0.035948276519775335,1.231255054473877
1,ps,4,0.006863594055175733,0.0063986778259277005,0.009916702906290632,0.05567804972330723,0.07534821828206373,0.1959422429402669,0.049578825632731104,1.6475460529327393
1,ps,5,0.008102734883626268,0.007328112920125267,0.0114165147145589,0.07026362419128412,0.08911236127217603,0.23197579383850092,0.05776977539062497,2.0436607201894126
1,ps,6,0.009622176488240533,0.0099668502807617,0.012709697087605734,0.08271288871765133,0.10446564356485999,0.27549179395039874,0.06694340705871576,2.4337912400563555
1,ps,7,0.011373122533162399,0.010822216669718367,0.014666875203450468,0.09726079305013018,0.1171659628550211,0.32971835136413574,0.0784993171691894,2.814915100733439
1,ps,8,0.012090285619099868,0.012326876322428335,0.016380151112874334,0.1093529860178629,0.1405296325683593,0.36770145098368323,0.08829625447591143,3.188529968261719
1,ps,9,0.013156414031982366,0.012998024622599233,0.017352581024169866,0.12519661585489905,0.15078481038411454,0.41339222590128577,0.09441510836283362,3.5117564996083575
1,ps,10,0.014753500620524034,0.015012661616007467,0.019765535990397067,0.1353511015574137,0.1718703111012776,0.4506014982859293,0.1024083296457926,3.798254807790121
1,ps,20,0.026032765706380162,0.02707020441691073,0.03683352470397943,0.2850746313730876,0.3099677562713623,0.9233863353729248,0.18757955233256016,6.968221584955851
1,ps,30,0.0361551443735758,0.038787603378295864,0.0713748137156168,0.4128139813741048,0.46085921923319506,1.3659474849700928,0.28305832544962567,10.473737716674805
1,ps,40,0.0450187524159749,0.051061709721883064,0.1109031041463216,0.5574758847554524,0.5848687489827474,1.9608921209971109,0.37448859214782715,14.211792866388958
1,ps,50,0.05613001187642411,0.05692839622497553,0.1522451241811116,0.731265385945638,0.744116465250651,2.1824378967285156,0.46482555071512854,17.844055732091267
1,ps,60,0.061201016108194936,0.06981325149536127,0.2001558144887288,0.8329033056894939,0.900119145711263,2.7546756267547607,0.5581377347310384,22.208908875783283
1,ps,70,0.07204341888427729,0.07854270935058591,0.23072791099548334,1.0009810129801433,1.154341697692871,3.069928963979085,0.6544468402862549,25.991188605626427
1,ps,80,0.0808180967966715,0.0864900747934977,0.2711220582326253,1.168922026952108,1.26516326268514,3.5850005944569903,0.7518579165140789,29.793102105458573
1,ps,90,0.09258143107096353,0.09803040822347003,0.3543488184611002,1.34762708346049,1.4849538803100584,3.6813188393910723,0.8478277524312338,33.41068744659424
1,ps,100,0.10700194040934242,0.1082335313161214,0.4084550539652506,1.5561331113179522,1.663780689239502,4.281159321467082,0.9198129971822102,36.69781200091044
2,all,1,0.003598690032958933,0.004073540369669533,0.004103263219197567,0.026642719904581665,0.0345107714335123,0.0796589056650797,0.027812401453653934,0.5538334051767985
2,all,2,0.005388895670572867,0.005983193715413333,0.0067056020100911,0.03722055753072096,0.0457083384195963,0.1032334168752034,0.0414660771687825,1.2892345587412517
2,all,3,0.006305456161498966,0.006266991297403933,0.009369055430094333,0.07011500994364415,0.0530966122945149,0.13390994071960444,0.060349861780802365,1.9787967999776206
2,all,4,0.008620023727416966,0.009862820307413667,0.012654701868693,0.0679535865783691,0.06523164113362627,0.14638511339823404,0.06822443008422847,2.2752141157786054
2,all,5,0.0117366313934326,0.010084311167399067,0.012144406636555968,0.08210174242655432,0.08195583025614414,0.14081152280171708,0.08381485939025878,2.9336101214090986
2,all,6,0.0145528316497802,0.013706048329671167,0.013432582219441668,0.10731665293375647,0.09559496243794753,0.192963441212972,0.0944885412851969,3.3616848786671953
2,all,7,0.0147163867950439,0.013393561045328732,0.015952984491984,0.11886397997538242,0.0788320700327555,0.19078389803568518,0.0995228290557861,3.663203795750936
2,all,8,0.014646291732788034,0.0140598615010579,0.01955246925353997,0.11034735043843583,0.08084265391031897,0.22046701113382972,0.09855651855468747,4.0095986525217695
2,all,9,0.015215476353963166,0.017244338989257767,0.022117455800374268,0.13125443458557126,0.10650316874186189,0.25074235598246253,0.10647233327229813,4.811820109685263
2,all,10,0.0150504112243652,0.0188043117523193,0.0248026053110758,0.1465431054433186,0.08102631568908686,0.2692941824595133,0.11793128649393714,4.5979658762613935
2,all,20,0.026182969411214133,0.02769327163696287,0.0263570149739583,0.18888560930887857,0.18905719121297196,0.47130751609802246,0.1586949030558268,7.88770882288615
2,all,30,0.037312110265096,0.03625305493672687,0.036592324574788365,0.3140588601430257,0.1681245962778727,0.710256020228068,0.19020446141560865,10.81241766611735
2,all,40,0.0357890923817952,0.03289031982421867,0.046480814615885366,0.449162483215332,0.18955691655476883,1.0020854473114014,0.23972519238789874,13.484429200490316
2,all,50,0.031114657719929967,0.040852228800455664,0.0453128019968668,0.5248931248982748,0.22653738657633454,0.885364294052124,0.30650639533996576,18.15207592646281
2,all,60,0.0362160205841064,0.05076336860656737,0.06233517328898106,0.5967707633972168,0.30065886179606116,0.9274017016092937,0.3347797393798828,19.404078722000122
2,all,70,0.039905230204264265,0.05385573705037426,0.075124979019165,0.740009625752767,0.2474950949350993,0.9288758436838787,0.44279114405314124,22.117462793986
