neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,0.4157980680591341,0.2523393162103764,0.5681749040425312,0.1804329390396657,0.6793232669594735,0.5486610644359683,0.4947017686730086,0.4358816386301714
all,2,0.4829984710592266,0.28844455370519223,0.5748834134963233,0.19594390401013315,0.6892519917637724,0.5492623673553149,0.49735277735831385,0.44271821221937036
all,3,0.5063407757208274,0.302807910170772,0.5606684073518178,0.20397288955484838,0.6872526024030597,0.55324237143372,0.49466465478353877,0.4501492192011577
all,4,0.5228056157595175,0.3170993909451908,0.5809554724683761,0.21339051967506814,0.6989392350445656,0.5503419077426982,0.4885124733248299,0.4488945250942739
all,5,0.5136353266290025,0.32457981977437533,0.5738882221895101,0.22039465160058638,0.6994960882838474,0.5550464236960067,0.4874443400908784,0.44082717246477465
all,6,0.5173288143213837,0.3368235513739991,0.5758037776912908,0.2226045372866535,0.7361782836071169,0.5423610017357129,0.4864711012778274,0.4392189153022941
all,7,0.5133553179886001,0.34335865673709254,0.5647377403926244,0.2211177282502462,0.7402423394425811,0.5446077542380713,0.4783819969867431,0.44087331211864844
all,8,0.5405384887271157,0.34949318537261675,0.5651603220138156,0.21646615300410582,0.7380723813662542,0.5475206193809442,0.47621895467553693,0.4486915033275694
all,9,0.5463848829688404,0.35621533265685185,0.562929809027758,0.22123836772507266,0.748191466470178,0.5362264928102565,0.4847372908139159,0.44761194923778974
all,10,0.5470458726930346,0.352701393490866,0.5635688494534505,0.22294659654784182,0.7425102370175939,0.5323038508932362,0.47946233791744525,0.4502039569526673
all,20,0.5985106496595917,0.40383289386319243,0.503248852975074,0.2291124537978203,0.6989063488841415,0.5354903172238299,0.47494987362659835,0.4474983614604617
all,30,0.5867641286355324,0.3998928161633585,0.4865605266089696,0.23674141460906306,0.6607832666836797,0.5128676242347937,0.46736116468512806,0.4431782778966662
all,40,0.5829651876303394,0.4139630471993335,0.4848605866542612,0.2342302277811166,0.6743745029433429,0.5106942161026775,0.4657214062565461,0.44044957160085774
all,50,0.5820109949656878,0.40632212479853536,0.48154181487638215,0.23734301890653356,0.6343083991950275,0.4567504493298159,0.45817359937247754,0.44672331425763423
all,60,0.5763866181629911,0.42346142196176384,0.4799568454473435,0.24274642576791836,0.5850071162797463,0.45756878577434995,0.4542413328541328,0.45175415177299927
all,70,0.5766300857566848,0.42002537493294184,0.47930265816472295,0.2460285813532369,0.5936200508740518,0.44081868002103514,0.44292950439257134,0.4489039284960522
all,80,0.5766652014238984,0.4247112098319917,0.4788631247390584,0.2398830559994668,0.5941047204242323,0.44056790816377,0.440309862284237,0.4502545228732894
