neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,0.10045660111657222,0.02824359442390044,0.40945131367031906,0.02222720737201527,0.4611742556418796,0.2569857241823548,0.21007038151705626,0.13920002692397376
all,2,0.21696036764885213,0.07035193492647755,0.4356089957098402,0.04164268710962821,0.4810080599913945,0.29026454101165977,0.2403944404679213,0.18652587476015467
all,3,0.243671036592592,0.12073876761738787,0.4170187911858774,0.05453546535734095,0.47905108668191626,0.29204487446464816,0.232804842480183,0.2107581275418929
all,4,0.29206756820029595,0.1599846206624263,0.4238528949005872,0.06541260812426125,0.5060457976048851,0.30736125500021705,0.22771585048701434,0.22842025311606612
all,5,0.29391322866184866,0.16622548910926196,0.4179626721143396,0.07539342665982254,0.5079309335759282,0.32684721629853175,0.2336673208594825,0.2035199986020955
all,6,0.29962422921404874,0.2142020707973694,0.423273472328587,0.08730172191582544,0.5815617267466245,0.3202379478423608,0.2314152643204535,0.21096769498848486
all,7,0.2892794763155503,0.22652711662321484,0.411489825560891,0.08800486024148786,0.6119430600958526,0.3350776423362658,0.2146987469039675,0.21614605320391242
all,8,0.3494359611177835,0.2336711211341471,0.41286668568506296,0.0845743208936205,0.608707842300582,0.34439987186596394,0.21643268553547104,0.2437151230280878
all,9,0.3676696396034278,0.24252037761971754,0.4143731215420658,0.0907605207309366,0.6713725761841091,0.338152446058981,0.2230371829436608,0.23840254322802612
all,10,0.36827186307103515,0.24379878032830268,0.41492961433177417,0.09341953057851021,0.6515972126451768,0.335473798857208,0.22049104385136675,0.24421693319858412
all,20,0.5506925871563366,0.37028128580516917,0.3428068483012909,0.11073276848857067,0.6085085165630594,0.40800188844692575,0.2077884513911511,0.2704947103265514
all,30,0.5446131275502932,0.3823758545058498,0.3257453408652745,0.12019307499258099,0.568600018857222,0.3879836075838914,0.20630507255720112,0.27875797267407343
all,40,0.5467072449901785,0.4013897320689284,0.3280047137765674,0.12367333606028384,0.597221435255305,0.39229454750288895,0.19800184499433426,0.28257010029257007
all,50,0.5496653902232399,0.39112517886562276,0.3238245364324758,0.14258314537381675,0.5466323170760611,0.32905928682376817,0.18971922681864817,0.33409898514836794
all,60,0.5472784112631193,0.43034979605888773,0.32171926585740956,0.1429102114566616,0.46001007606205974,0.3314216914630349,0.1852038784839579,0.3582697380880333
all,70,0.5427561891384816,0.44178972290847135,0.32095161823209206,0.17517641719073906,0.4698596259192281,0.3026225464659704,0.17552428451465044,0.3505692274549761
all,80,0.5458290711701742,0.4475408404645985,0.32156820985374107,0.15851122712605992,0.4699538137392318,0.30390115259396905,0.17343992357907995,0.3662882122827923
all,90,0.5334742623334299,0.4475162690932166,0.32086739839348283,0.16993535997518683,0.4734826396633053,0.3044303883773389,0.1753262731140349,0.368656088452559
all,100,0.5295833297926449,0.4504310454372187,0.3208571101493903,0.17038881331922706,0.479144359535423,0.41226865113958433,0.18183051692429147,0.3686716681702163
unweighted,1,0.10425913074018944,0.028551191169412092,0.4145601104529519,0.02245077365895833,0.4555874378564735,0.24008365226555428,0.21427127837435983,0.14968763087454587
unweighted,2,0.21151670505013304,0.07204872915022686,0.4290576835408158,0.03968410211689198,0.47874761563668694,0.28127121875628525,0.24348952818833328,0.18325293281372798
unweighted,3,0.2349910766995933,0.12023129616780136,0.4224148454753682,0.05120726297454255,0.5208418785803027,0.30457680160156164,0.23933171681721832,0.2039631251017384
unweighted,4,0.27806636330697976,0.14090657032897386,0.42941018205998976,0.06661077012474034,0.5183821786270733,0.33079828803694156,0.23453663117236664,0.20281700871485195
unweighted,5,0.2756495582252714,0.15489233466887442,0.4179626721143396,0.08324381048625128,0.5769566625591206,0.32665725672945123,0.2294041115756798,0.23199307637704228
unweighted,6,0.2891232881412743,0.19241702938061192,0.41226768850014106,0.0800934337882447,0.5815617267466245,0.32209080102091747,0.2296072264894049,0.21952782733354118
unweighted,7,0.3370830694081402,0.2251497712870611,0.4121453659566109,0.0824380938641237,0.6121778209485951,0.35984874328060074,0.23074997033219002,0.2296104241969547
unweighted,8,0.3373216364932501,0.23923836384585892,0.41286668568506296,0.08169376026266939,0.5916667937398655,0.3416451350286323,0.2366989082714042,0.23358644159434103
unweighted,9,0.3857010599276578,0.2483456582614033,0.4143731215420658,0.09392425748371051,0.672494055810854,0.33562267960295034,0.22907815513427526,0.23067039374215043
unweighted,10,0.3663469014383658,0.26031779923307863,0.4144318327980507,0.08331198442168063,0.6517477433810223,0.3396554222993214,0.21694524130561582,0.24985998036453344
unweighted,20,0.4977605571330606,0.32930666815806875,0.37802478493355085,0.11550247663200883,0.6104168671076196,0.4148561768555177,0.21685645568001674,0.2511365369119881
unweighted,30,0.5461452586304751,0.37175075340862423,0.336757222974312,0.1291343362336785,0.568600018857222,0.3895309174841022,0.21484914706587044,0.28742473479956226
unweighted,40,0.5441354261212291,0.39219311025842224,0.27753048732005836,0.148094818888689,0.597025238784642,0.3923133158736144,0.19985941609357735,0.3049996045936698
unweighted,50,0.5458949137524611,0.36324987867067715,0.27388161188919447,0.1497187766639845,0.5491180061610705,0.32905928682376817,0.19400448121911815,0.35158692765262073
unweighted,60,0.5466920781127813,0.4313906449515272,0.30461771380034025,0.1533649110167593,0.4612131861173641,0.33134745352520983,0.17900378621035518,0.32158172183326045
unweighted,70,0.5482059986124325,0.4302066868073973,0.3067319015440838,0.16755775578678722,0.470566594472309,0.3027643124602795,0.17812546979737437,0.31277910171592604
unweighted,80,0.5458290711701742,0.4439252533822624,0.25721359972249563,0.1659161135516854,0.4699538137392318,0.3035319415799816,0.17467605463760377,0.36010227517519416
