nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
8,unweighted,8,0.020747184753417934,0.020510276158650666,0.0228827794392903,0.07566841443379717,0.07483561833699541,0.140661875406901,0.0849173863728841,2.437211354573568
8,unweighted,9,0.0202399094899495,0.0208988189697265,0.02410546938578283,0.07179411252339676,0.07427453994750974,0.1525141398111979,0.08738327026367183,2.6250524520874023
8,unweighted,10,0.021738449732462497,0.025016228357950768,0.0239791870117187,0.07870364189147946,0.07663806279500321,0.16666642824808753,0.0847996075948079,2.940887689590454
8,unweighted,20,0.029055595397949163,0.032541513442993136,0.032053788503011035,0.12779100735982254,0.13297820091247556,0.2876496315002441,0.12806955973307285,4.417350212732951
8,unweighted,30,0.03141554196675613,0.036569913228352804,0.0423221588134765,0.15653753280639643,0.15113917986551917,0.5398693879445394,0.1591223875681559,5.679187774658203
8,unweighted,40,0.034990151723225865,0.041090091069539335,0.05401706695556637,0.22925742467244464,0.1489604314168294,0.743901252746582,0.19543965657552081,7.06425698598226
8,unweighted,50,0.03951462109883623,0.04237365722656243,0.05694651603698726,0.2587698300679524,0.19658859570821122,0.9628661473592122,0.23301680882771802,8.398023923238119
8,unweighted,60,0.03636487325032547,0.042594114939371736,0.06571928660074866,0.33710575103759766,0.2546281019846598,1.0024330615997314,0.28252752621968585,9.5115434328715
8,unweighted,70,0.040189504623413065,0.04508233070373533,0.07564806938171383,0.36174805959065753,0.290179173151652,1.2283594608306885,0.35692898432413733,10.915443102518719
8,unweighted,80,0.03972363471984856,0.051957686742146764,0.07990868886311844,0.4134061336517334,0.310641606648763,1.2128588358561199,0.3829978307088216,11.648086150487265
8,unweighted,90,0.04308867454528804,0.0457088152567545,0.08524290720621744,0.5213205814361572,0.39360984166463214,1.3876752058664958,0.4099078973134359,12.705855131149292
8,unweighted,100,0.04658881823221837,0.047886212666829395,0.08840298652648923,0.6982179482777914,0.552363395690918,1.8681690692901611,0.4399592081705729,13.889049847920734
8,queue,1,0.0030653476715087336,0.003914992014567,0.0044266382853189665,0.0192821820576985,0.011983474095662366,0.029282172520955364,0.0171279907226562,0.22637255986531574
8,queue,2,0.0029857953389484998,0.004561026891072534,0.0054736932118733,0.024721860885620065,0.017108360926310167,0.0401846567789713,0.020867268244425433,0.27511223157246906
8,queue,3,0.003832022349039667,0.005230903625488233,0.006195942560831633,0.029826561609903903,0.023619016011555968,0.04528522491455077,0.025467316309610934,0.3538507620493571
8,queue,4,0.0050141811370849,0.0056811968485514005,0.0065933863321939335,0.030603965123494434,0.02757048606872553,0.0501650174458821,0.028285344441731704,0.40630173683166504
8,queue,5,0.0057922999064127,0.006116469701131166,0.006818215052286733,0.034493843714396136,0.030830224355061803,0.053144375483194894,0.0304083824157714,0.5165123144785564
8,queue,6,0.006081024805704733,0.006873925526936766,0.0072360833485921,0.03742599487304686,0.03253054618835443,0.05686386426289873,0.032025973002115835,0.6414926052093506
8,queue,7,0.0066272417704264005,0.007292668024698867,0.007409731547037732,0.03785467147827143,0.035824219385782834,0.0623656113942464,0.035305500030517536,0.8129796187082927
8,queue,8,0.0069587230682372665,0.0076988538106282,0.0079111258188883,0.03941488265991207,0.03454081217447913,0.06894000371297196,0.03396415710449213,0.9236398537953694
8,queue,9,0.007202148437499967,0.008073806762695267,0.0088098049163818,0.039994478225707966,0.038235902786254834,0.07349157333374016,0.035806814829508433,0.9985496203104656
8,queue,10,0.007629156112670833,0.008702437082926399,0.009645541508992467,0.04096055030822746,0.037408828735351535,0.07912206649780266,0.037646134694417265,1.0655841827392578
8,queue,20,0.011521577835082933,0.012361208597818966,0.015759468078613233,0.058376709620157834,0.05498123168945307,0.1290766398111979,0.0474481582641601,1.7430078983306885
8,queue,30,0.014542659123738533,0.015520970026651967,0.022616147994995065,0.07331267992655432,0.07235956192016597,0.18061383565266925,0.053542137145996066,2.2733463446299234
8,queue,40,0.016676664352416968,0.01802364985148107,0.030226548512776633,0.08926224708557123,0.0945038795471191,0.24367356300354,0.0607362588246663,2.94578750928243
8,queue,50,0.019330660502115866,0.021852652231852166,0.03727825482686357,0.10247715314229325,0.11194237073262531,0.2652734120686848,0.07454776763916014,3.3738606770833335
8,queue,60,0.021807591120401967,0.025696277618408134,0.03796275456746413,0.12345655759175614,0.12965559959411618,0.30564077695210773,0.08167791366577146,3.8156204223632812
8,queue,70,0.025050322214762336,0.026521126429239865,0.04470761617024737,0.13099304835001624,0.14609829584757483,0.3261177539825439,0.09672474861145014,4.371273994445801
8,queue,80,0.0272329648335774,0.031314929326375265,0.04700565338134761,0.1468873818715413,0.164065678914388,0.3880728085835775,0.11187092463175452,4.585215489069621
8,queue,90,0.030109087626139265,0.0279785792032877,0.0458904107411702,0.17485849062601724,0.19402901331583655,0.45165189107259107,0.1099894046783447,5.4684050877889
8,queue,100,0.028439601262410436,0.030018568038940402,0.042232990264892536,0.17794895172119138,0.2215297222137451,0.49258287747701,0.12400857607523594,5.642136891682943
8,ps,1,0.0036225318908691,0.0036887327829996336,0.0051499207814534,0.0201485951741536,0.0223595301310221,0.0671710968017578,0.028429269790649365,0.412156343460083
8,ps,2,0.0043099721272786,0.004444440205891867,0.007904370625813766,0.026888132095336865,0.031903902689615835,0.08053580919901526,0.035455942153930595,0.5654167334238688
8,ps,3,0.005534092585245733,0.006114721298217701,0.011472225189208932,0.03616603215535477,0.03985635439554847,0.09008598327636717,0.0413716634114583,0.7804571787516276
8,ps,4,0.007584969202677367,0.008016029993693,0.0126448472340901,0.040201187133789,0.0446968873341878,0.09110355377197264,0.0453886985778808,0.9157853126525879
8,ps,5,0.009656429290771432,0.009252389272054,0.0136322180430094,0.0471424261728922,0.04787611961364743,0.10042428970336911,0.04866051673889153,1.0658016999562583
8,ps,6,0.0116178194681803,0.0109178225199381,0.015072186787923134,0.05058137575785314,0.049889961878458636,0.11773387591044104,0.04963215192159014,1.2591588497161865
8,ps,7,0.012510855992635066,0.012512683868408168,0.015405813852945899,0.0533506075541178,0.05265776316324866,0.12489652633666987,0.05498862266540523,1.5319650967915852
8,ps,8,0.013525088628133099,0.013365189234415667,0.017482916514078697,0.0567220052083333,0.056326707204182896,0.1398239135742187,0.0584650834401448,1.661909262339274
