neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
unweighted,full,0.43879417030395224,0.32916301776204654,0.4149117781465811,0.24002179715784075,0.4398064130689391,0.4577098481637273,0.2530455069160871,
weighted,full,0.44136284893952954,0.2997076648415535,0.43621094940927635,0.23981050505632825,0.44032204060967867,0.26699571164968766,0.19403243188132469,
queue,full,0.4578155969695129,0.3016245274332258,0.4644552168682582,0.2398105050563282,0.5037759507761521,0.457916007817567,0.2527064973519219,
all,full,0.4578155969695129,0.3024681792112246,0.46445521686825825,0.2398105050563282,0.5037759507761521,0.457916007817567,0.252648202548928,
