neighbor_modes,rates,nthreads,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,1,0.2940898984085352,0.18488061615319298,0.48990389169632,0.1320379202658118,0.5070341413086699,0.45410746811255814,0.2808047234878397,0.26834064465457796
all,2,1,0.3816402356570009,0.2453886310035494,0.5310185604263141,0.14425384041675077,0.5646350173573766,0.4948691918597139,0.3607584571275877,0.336961871919259
all,3,1,0.43129452098146553,0.2642568301902665,0.5543686355909118,0.1528379038949342,0.6027644964183454,0.5048511492285165,0.402538827452333,0.36687601603769443
all,4,1,0.4504439742095602,0.283233223704263,0.54921004836266,0.15680485391726848,0.6205996336108026,0.5177205204275862,0.4371852940556928,0.38480940720635304
all,5,1,0.46977327943206854,0.2875072009771249,0.5532982033978443,0.16077914509963806,0.6317858034319332,0.5232288578263092,0.45325664189781717,0.39423619828369005
all,6,1,0.4802419017669085,0.29548706266827623,0.5586280132263767,0.1647341068445462,0.6373682604923636,0.533263145865276,0.4693780830985778,0.39937339037367287
all,7,1,0.490016523476857,0.3004024872687115,0.5645898513271159,0.16778005305435859,0.6430213798090789,0.5231841703642999,0.48334379190489096,0.40524610330313765
all,8,1,0.4913096738341422,0.3025694102422924,0.563053660920997,0.16849626316399438,0.6495034900747709,0.5212931364900634,0.48861930490442845,0.4096468114815955
all,9,1,0.5025585259601523,0.3086455963150784,0.5646620302407638,0.17149314611146615,0.6652084454700488,0.5204567796983361,0.49550640200927404,0.41239727158925193
all,10,1,0.5122900758071531,0.315097876269624,0.5670790320348309,0.17357447069948428,0.6813282311383073,0.5254786057502027,0.5014463576784787,0.4195257045764723
all,20,1,0.5285623523188634,0.34928304952189626,0.5630141184864027,0.19131985707141289,0.6691869987506329,0.5041676889751873,0.5133912942309007,0.43005142311040284
all,30,1,0.556432199932122,0.3745551568757425,0.5410978932775165,0.19738304996926906,0.6955732092770578,0.4985104277747042,0.5101102678594822,0.4368851840792232
all,40,1,0.5817601535573592,0.3926588385945968,0.5383352222009149,0.20688865764090306,0.6968400561545633,0.5333918377524041,0.5082533325110911,0.43617533931275876
all,50,1,0.5795482897087401,0.40320828848248835,0.5349220411045368,0.20846909181510367,0.6725286136647345,0.5275942363495651,0.5056705367615686,0.4367799650809599
all,60,1,0.5765454657770713,0.40682692926985187,0.531114576022307,0.21972562150777053,0.6720538541289482,0.5022428470983933,0.49976722102121973,0.4361924017761879
all,70,1,0.5747669334522657,0.42278195412374536,0.531055914208878,0.22016336085739915,0.5936200508740519,0.5022215501633013,0.4983133970825519,0.4333240438699081
all,80,1,0.5766652014238984,0.43378683795460465,0.5514863607513131,0.22302928638058753,0.5941047204242323,0.5036034097368803,0.4942680743434358,0.438060301729203
all,90,1,0.5689829531323257,0.43193226089858777,0.5519996473637548,0.22812365712277635,0.5953331287574037,0.45214796891380776,0.4911465687668584,0.4363628519646622
all,100,1,0.5659118791052631,0.4251002651085653,0.5518024822055035,0.22618425463138273,0.5973210853045746,0.4381315977043436,0.48859816253552363,0.443124151566651
all,1,2,0.29639017132414874,0.18698357236497012,0.48047426573271834,0.13166719520011166,0.49791882972737184,0.4585400135117104,0.28388179457076784,0.2697329542363784
all,2,2,0.3847075487365294,0.24820350776995087,0.5336734116681175,0.14505289923834128,0.5795701779325084,0.49901513705120104,0.3612982226721078,0.3373050733885019
all,3,2,0.42936220866396957,0.2702061824065365,0.5459600073374008,0.15294047197374336,0.60259723593136,0.4938801113317558,0.4063930988413869,0.36747868329567696
all,4,2,0.44750591081431945,0.2853356713339875,0.5515436218293813,0.1566316046707555,0.629253037797214,0.5070804816962156,0.4383766139334071,0.38024961878278235
all,5,2,0.468291914382409,0.2900040117664866,0.5465343347548319,0.16083049273957606,0.6142470744921682,0.5158386216545034,0.4600282003138448,0.3948697984232311
all,6,2,0.4805883330858418,0.29377602921881446,0.5487236528716696,0.1628727563521832,0.6235711444578188,0.5207218399455812,0.47162834763195155,0.4013596094607534
all,7,2,0.48664701840360836,0.3059926787817376,0.5623658595664581,0.16739460111107587,0.640939496516759,0.5249595377794052,0.4837705989375673,0.40733059314942804
all,8,2,0.49464448716697446,0.3082435575652002,0.5586374315086395,0.17122621716713776,0.6575854980959273,0.5199978911421563,0.4909440048547623,0.41146361289490996
all,9,2,0.5056724200488635,0.31208195612588285,0.5645921542349718,0.17294572584285198,0.681781984549664,0.525117926822739,0.4963550253608978,0.4105111877011453
all,10,2,0.5050941416279096,0.3215623435456641,0.5602015177383248,0.17825116564322668,0.6818051107069789,0.516103534593841,0.5022541692568222,0.419077022901162
all,20,2,0.5403715243993306,0.3503225990196074,0.547453436643993,0.19292555657314767,0.6584451816098507,0.49703391988790546,0.5107752338506102,0.428121981424929
all,30,2,0.5758489234786022,0.37871456966570877,0.5419355744642729,0.19867263920515346,0.6953693911866146,0.514695319275835,0.510158458837885,0.43515825383036066
all,40,2,0.5754481968466294,0.3806658252002421,0.5015648454322627,0.20152466446214448,0.6744197573111623,0.5107680583796076,0.5076872778416954,0.43621897571907625
all,50,2,0.5795482897087401,0.39552293024253476,0.5008463369929631,0.2118347302338546,0.6725286136647344,0.5252069502739489,0.504711130735396,0.4372132956930622
all,60,2,0.5737326888917719,0.39489143121167736,0.49526171392646806,0.20920330425396153,0.6365430980529617,0.5022428470983933,0.5051182507437377,0.43587045234238825
all,70,2,0.5747669334522658,0.4061902406839986,0.4876505830147094,0.22075499790344644,0.6413751805188346,0.5022215501633014,0.500965066514224,0.44595729910091514
all,80,2,0.5752356662027542,0.42215054254353784,0.4865667025187029,0.22389178156706235,0.5941047204242323,0.5036034097368803,0.49566944980788785,0.4436091907672928
all,90,2,0.5679207637238224,0.43193226089858777,0.4869374118057816,0.21685501834126128,0.5372708658312785,0.4521479689138078,0.49299155889178864,0.44780207542589273
all,100,2,0.5673013196466483,0.42510026510856525,0.4868073318013254,0.23321468168442766,0.5973210853045746,0.43813159770434357,0.4873504551914129,0.44180032881500725
all,1,4,0.2966142281709489,0.1863805113064685,0.4837210949008477,0.13195847875417294,0.5029454573598425,0.45658640779566945,0.2841359645615578,0.26922867811068973
all,2,4,0.3794441664557961,0.24604467192974044,0.5307131464681863,0.14551473026348463,0.5663629759914679,0.4933461327009938,0.3630272981812299,0.337269550749946
all,3,4,0.4324599741909574,0.27075535193737743,0.5405147671649017,0.15257900911600245,0.591245465231092,0.505741042390226,0.40407550674961706,0.37116924933318796
all,4,4,0.4515430617992604,0.28350594083208924,0.5578340464054211,0.15605639638407975,0.6097061328889127,0.5202133583123837,0.44150288144059807,0.3874279655992106
all,5,4,0.4720507806390139,0.29017655625763034,0.5532982033978443,0.16122596463677955,0.6274757850457766,0.5186871825322876,0.46020920714303615,0.39420022161906204
all,6,4,0.47852491074039083,0.29393812621280435,0.5558978087944159,0.16315102864744702,0.6322509125267589,0.5169328218081294,0.47404421446730205,0.40047467293877276
all,7,4,0.4872759757970438,0.30143113799886495,0.5599955381070529,0.1657286143135048,0.6477120566229966,0.5184172436680948,0.48672760409242566,0.4028811602164783
all,8,4,0.5038303083152721,0.3064728823597382,0.5545540027237226,0.17117335309609946,0.6643922523582395,0.5285420016680398,0.4912517554491678,0.4120086525840458
all,9,4,0.500429573232633,0.3106968561027421,0.5611130468191756,0.17280918084851246,0.660228181988479,0.52309585692836,0.49649592148706173,0.41304586079100025
all,10,4,0.49707560896121844,0.3169297661782787,0.5556846325528828,0.17603007679905994,0.6563090034362523,0.5350723184444377,0.49743952304046535,0.4181705748816954
all,20,4,0.544878529902473,0.34811719645036227,0.5630141184864027,0.18877784371354103,0.6873958017003882,0.5140062113103785,0.5104274868789189,0.425575112707358
all,30,4,0.5414886830606542,0.37019815532462613,0.5257040733890701,0.1964306770746136,0.6829737406018719,0.5055770095910659,0.51256933270415,0.43575888584243344
all,40,4,0.5754481968466295,0.3941313902779685,0.5552654524646976,0.20207153669174863,0.6557570134611589,0.5237091561216856,0.5104368288769091,0.43789450336789537
all,50,4,0.57954828970874,0.396354497230762,0.5064332792115522,0.21043677113863907,0.6357642982316795,0.5005650091670346,0.5033308791814813,0.43776851330174926
all,60,4,0.5740467297930771,0.40249028898508765,0.4806113346292574,0.2085826207012756,0.6365430980529616,0.5086320800728776,0.5015683149724677,0.43742391541235515
all,70,4,0.5791472847258016,0.40620350297089614,0.4801954155423062,0.2160690137830398,0.5936200508740519,0.5059054930902518,0.4983719278901341,0.4393455929529242
all,80,4,0.5752356662027543,0.4259458272060964,0.4808039044287865,0.22752744702945615,0.5941047204242323,0.45727022410803725,0.48786369285495274,0.4353911302603763
all,90,4,0.57026330936265,0.425396525246406,0.5421952760256936,0.21833577825365183,0.5953331287574037,0.4521479689138079,0.48440486845658176,0.4471529334798101
all,100,4,0.5673013196466483,0.43923529364062786,0.48178187613851986,0.2216503981580026,0.5973210853045746,0.4381315977043437,0.4851039456172771,0.4445683441433405
all,1,8,0.29689926268742367,0.1855850596861378,0.4800362058837137,0.13191636175071356,0.5100204524054707,0.45537524553883474,0.2833965398156322,0.27005675611750485
all,2,8,0.38149425629726363,0.24371434544375745,0.5250756321087001,0.14466051622941706,0.5785678085111254,0.4935726311278922,0.3619076756404143,0.33692824535993865
all,3,8,0.4261796806469871,0.27228929779615174,0.5376808732558188,0.152040648870702,0.6070375486329347,0.5055470323499908,0.40248294679515506,0.3694563768163797
all,4,8,0.45415737103671816,0.2843484673816308,0.5533711876030293,0.15547320354790198,0.6131931455049378,0.5159553999246127,0.43919544682386275,0.38472396237493856
all,5,8,0.4634230788686889,0.28606969469334315,0.5601219461414274,0.16136486820783427,0.6244811918997981,0.5261873146995343,0.4617213531523395,0.3952892461617493
all,6,8,0.4814647185876455,0.2913767042712387,0.5540474349623488,0.16304951650794533,0.6290163197372084,0.5211602120963785,0.47245159684895516,0.40345373272003454
all,7,8,0.48525179909057764,0.30310610119856646,0.5683630399147306,0.16794541297541737,0.6327634886347855,0.5201281113941304,0.4848785362270071,0.4062962449249599
all,8,8,0.4987160910890121,0.31081449138372097,0.5676126164336459,0.17022034503925126,0.6535978503043417,0.5237328590173446,0.4916723892510828,0.41127235841112586
all,9,8,0.49706675409407436,0.31195501273218706,0.568218553059913,0.17076413259513787,0.6596487345006949,0.5178089931490413,0.49457816293829865,0.41381199180752454
all,10,8,0.4963517398878475,0.31983122468518654,0.565985669515425,0.17517541683714022,0.6661911373232516,0.5163539130984021,0.5026566684982979,0.4148904044633824
all,20,8,0.5539944817513744,0.3465509055167516,0.5630141184864027,0.1882526509929575,0.6737021826756352,0.5051252305396653,0.5114763528679755,0.42805898438880746
all,30,8,0.5649994746233985,0.3713755807838088,0.5612034420574235,0.19954724510555485,0.69996969056231,0.4915380454682412,0.509615212346517,0.42898946281021944
all,40,8,0.591853298879812,0.3924275107430438,0.5463761279387668,0.20536628217190286,0.6970966496339656,0.52518043767825,0.5081252565253014,0.439224720063073
all,50,8,0.5815877207213944,0.4027249567157224,0.5430310685439635,0.21079263639457962,0.6075864967048871,0.505580000294534,0.5057493518214448,0.43438767868520634
all,60,8,0.5765454657770712,0.40454913196340014,0.49526171392646795,0.21576075834032418,0.672053854128948,0.504187919871101,0.5026242233017578,0.4411676669802305
all,70,8,0.5763964661362884,0.42401930529063514,0.5518300200616677,0.21601395525655004,0.5938012546810549,0.5034911982073985,0.49634763047261105,0.4445260619486112
all,80,8,0.5766652014238984,0.4259458272060964,0.5420022797062424,0.21722606398282043,0.5941047204242323,0.45727022410803725,0.4994703184109405,0.4462775795251406
all,90,8,0.5689829531323256,0.42317122137881663,0.5431812085901884,0.22910156980849067,0.5953331287574037,0.43835550909331505,0.4927072970952219,0.4459356338554744
all,100,8,0.5659118791052631,0.42510026510856525,0.5230480798668693,0.2330735432369453,0.5973210853045746,0.4381315977043437,0.492124133480222,0.4391082721276333
all,1,16,0.29469515087190956,0.18469790321024815,0.48496118414368816,0.13183280039635187,0.5110719950364242,0.45026139984076846,0.28233132188230703,0.26912785815715645
all,2,16,0.3778553742842272,0.24817500849138294,0.5313807368408741,0.1447852314779969,0.5689313581168374,0.49612127583225474,0.36246646902020324,0.3366702765029502
all,3,16,0.4242547489304621,0.2699588741711249,0.5531467576290802,0.1529006643158179,0.5932334176164205,0.5051801722123652,0.4025419042923134,0.36505979444648196
all,4,16,0.44892058256839434,0.2830250137694861,0.5501403980631924,0.15636690808401338,0.6139069004795786,0.5101850941599599,0.43766380673546906,0.38252080427565777
all,5,16,0.47561603454292384,0.28904882049027514,0.5622291129210887,0.16207690962437526,0.621702014014121,0.505537740458145,0.46166549321634864,0.3938511093283072
all,6,16,0.4744317737593605,0.2925764672076772,0.5625775048055969,0.1631176185907903,0.6407230356328831,0.511973380180999,0.47207511094235854,0.40007762825598825
all,7,16,0.4896687403780383,0.30044691524008493,0.5709131463500852,0.1657090897072695,0.6411926577618354,0.5201833165135514,0.48375399586288664,0.40662119714685574
all,8,16,0.49165972191015456,0.3045156796070986,0.5568169445602779,0.16868668926350977,0.6547490327133126,0.5200317440689746,0.4924713948042805,0.4103187483602421
all,9,16,0.5079622272282267,0.3101981414206642,0.565694617472854,0.17047215971738777,0.6656875652748369,0.5210665254303041,0.4973027693739597,0.41021036537461003
all,10,16,0.4995487462601246,0.3174117196510821,0.5600029962179308,0.17397888038170645,0.658498685471704,0.5286723227000992,0.49950662052669303,0.4150334146801537
all,20,16,0.5283153901631072,0.35705567804022326,0.5630141184864027,0.19158131492137512,0.6782197840227089,0.48897257841841724,0.5141172536409685,0.4241386458411568
all,30,16,0.5628649901309339,0.37495095826170427,0.559710196217802,0.19909719770953244,0.6953693911866144,0.4816788573669381,0.5100136676035358,0.43075170146773845
